iata_o,iata_d,id_j,State_j,District_j,id_i,State_i,District_i
VNS,AGR,60,Uttar Pradesh,Varanasi,37,Uttar Pradesh,Agra
BOM,AGR,2,Maharashtra,Mumbai,37,Uttar Pradesh,Agra
CCU,AJL,33,West Bengal,Kolkata,382,Mizoram,Aizawl
IMF,AJL,382,Mizoram,Aizawl,382,Mizoram,Aizawl
BOM,AMD,2,Maharashtra,Mumbai,8,Gujarat,Ahmedabad
DEL,AMD,1,Delhi,Delhi,8,Gujarat,Ahmedabad
MAA,AMD,10,Tamil Nadu,Chennai,8,Gujarat,Ahmedabad
JAI,AMD,11,Rajasthan,Jaipur,8,Gujarat,Ahmedabad
PNQ,AMD,5,Maharashtra,Pune,8,Gujarat,Ahmedabad
CCU,AMD,33,West Bengal,Kolkata,8,Gujarat,Ahmedabad
BLR,AMD,4,Karnataka,Bengaluru Urban,8,Gujarat,Ahmedabad
BOM,ATQ,2,Maharashtra,Mumbai,131,Punjab,Amritsar
SXR,ATQ,291,Jammu and Kashmir,Srinagar,131,Punjab,Amritsar
DEL,ATQ,1,Delhi,Delhi,131,Punjab,Amritsar
DEL,BBI,1,Delhi,Delhi,116,Odisha,Cuttack
BLR,BBI,4,Karnataka,Bengaluru Urban,116,Odisha,Cuttack
CCU,BBI,33,West Bengal,Kolkata,116,Odisha,Cuttack
BOM,BBI,2,Maharashtra,Mumbai,116,Odisha,Cuttack
VTZ,BBI,40,Andhra Pradesh,Visakhapatnam,116,Odisha,Cuttack
DEL,BDQ,1,Delhi,Delhi,63,Gujarat,Vadodara
BOM,BDQ,2,Maharashtra,Mumbai,63,Gujarat,Vadodara
BOM,BHJ,2,Maharashtra,Mumbai,167,Gujarat,Kutch
BOM,BHO,2,Maharashtra,Mumbai,145,Madhya Pradesh,Bhopal
RPR,BHO,160,Chhattisgarh,Raipur,145,Madhya Pradesh,Bhopal
DEL,BHO,1,Delhi,Delhi,145,Madhya Pradesh,Bhopal
BOM,BHU,2,Maharashtra,Mumbai,102,Gujarat,Bhavnagar
PNQ,BLR,5,Maharashtra,Pune,4,Karnataka,Bengaluru Urban
DEL,BLR,1,Delhi,Delhi,4,Karnataka,Bengaluru Urban
VTZ,BLR,40,Andhra Pradesh,Visakhapatnam,4,Karnataka,Bengaluru Urban
MAA,BLR,10,Tamil Nadu,Chennai,4,Karnataka,Bengaluru Urban
CJB,BLR,69,Tamil Nadu,Coimbatore,4,Karnataka,Bengaluru Urban
CCU,BLR,33,West Bengal,Kolkata,4,Karnataka,Bengaluru Urban
BOM,BLR,2,Maharashtra,Mumbai,4,Karnataka,Bengaluru Urban
VGA,BLR,273,Karnataka,Vijayapura,4,Karnataka,Bengaluru Urban
COK,BLR,87,Kerala,Kozhikode,4,Karnataka,Bengaluru Urban
AMD,BLR,8,Gujarat,Ahmedabad,4,Karnataka,Bengaluru Urban
MYQ,BLR,92,Karnataka,Mysuru,4,Karnataka,Bengaluru Urban
TRV,BLR,78,Kerala,Thiruvananthapuram,4,Karnataka,Bengaluru Urban
NAG,BLR,27,Maharashtra,Nagpur,4,Karnataka,Bengaluru Urban
HBX,BLR,196,Karnataka,Dharwad,4,Karnataka,Bengaluru Urban
IDR,BLR,80,Madhya Pradesh,Indore,4,Karnataka,Bengaluru Urban
BBI,BLR,116,Odisha,Cuttack,4,Karnataka,Bengaluru Urban
CCJ,BLR,87,Kerala,Kozhikode,4,Karnataka,Bengaluru Urban
LKO,BLR,29,Uttar Pradesh,Lucknow,4,Karnataka,Bengaluru Urban
JAI,BLR,11,Rajasthan,Jaipur,4,Karnataka,Bengaluru Urban
PBD,BOM,366,Gujarat,Porbandar,2,Maharashtra,Mumbai
IXC,BOM,321,Chandigarh,Chandigarh,2,Maharashtra,Mumbai
JAI,BOM,11,Rajasthan,Jaipur,2,Maharashtra,Mumbai
VTZ,BOM,40,Andhra Pradesh,Visakhapatnam,2,Maharashtra,Mumbai
COK,BOM,87,Kerala,Kozhikode,2,Maharashtra,Mumbai
AMD,BOM,8,Gujarat,Ahmedabad,2,Maharashtra,Mumbai
NAG,BOM,27,Maharashtra,Nagpur,2,Maharashtra,Mumbai
CCU,BOM,33,West Bengal,Kolkata,2,Maharashtra,Mumbai
BBI,BOM,116,Odisha,Cuttack,2,Maharashtra,Mumbai
IXU,BOM,57,Maharashtra,Aurangabad,2,Maharashtra,Mumbai
CCJ,BOM,87,Kerala,Kozhikode,2,Maharashtra,Mumbai
DEL,BOM,1,Delhi,Delhi,2,Maharashtra,Mumbai
BLR,BOM,4,Karnataka,Bengaluru Urban,2,Maharashtra,Mumbai
BHO,BOM,145,Madhya Pradesh,Bhopal,2,Maharashtra,Mumbai
BDQ,BOM,63,Gujarat,Vadodara,2,Maharashtra,Mumbai
JDH,BOM,58,Rajasthan,Jodhpur,2,Maharashtra,Mumbai
CJB,BOM,69,Tamil Nadu,Coimbatore,2,Maharashtra,Mumbai
BHU,BOM,102,Gujarat,Bhavnagar,2,Maharashtra,Mumbai
PNQ,BOM,5,Maharashtra,Pune,2,Maharashtra,Mumbai
JLR,BOM,136,Madhya Pradesh,Jabalpur,2,Maharashtra,Mumbai
IXR,BOM,97,Jharkhand,Ranchi,2,Maharashtra,Mumbai
MAA,BOM,10,Tamil Nadu,Chennai,2,Maharashtra,Mumbai
JGA,BOM,161,Gujarat,Jamnagar,2,Maharashtra,Mumbai
RAJ,BOM,83,Gujarat,Rajkot,2,Maharashtra,Mumbai
TRV,BOM,78,Kerala,Thiruvananthapuram,2,Maharashtra,Mumbai
STV,BOM,13,Gujarat,Surat,2,Maharashtra,Mumbai
LKO,BOM,29,Uttar Pradesh,Lucknow,2,Maharashtra,Mumbai
IXD,BOM,34,Uttar Pradesh,Jaunpur,2,Maharashtra,Mumbai
VNS,BOM,60,Uttar Pradesh,Varanasi,2,Maharashtra,Mumbai
IXJ,BOM,249,Jammu and Kashmir,Jammu,2,Maharashtra,Mumbai
GWL,BOM,177,Madhya Pradesh,Gwalior,2,Maharashtra,Mumbai
BHJ,BOM,167,Gujarat,Kutch,2,Maharashtra,Mumbai
IDR,BOM,80,Madhya Pradesh,Indore,2,Maharashtra,Mumbai
UDR,BOM,88,Rajasthan,Udaipur,2,Maharashtra,Mumbai
RPR,BOM,160,Chhattisgarh,Raipur,2,Maharashtra,Mumbai
HBX,BOM,196,Karnataka,Dharwad,2,Maharashtra,Mumbai
SXR,BOM,291,Jammu and Kashmir,Srinagar,2,Maharashtra,Mumbai
ATQ,BOM,131,Punjab,Amritsar,2,Maharashtra,Mumbai
AGR,BOM,37,Uttar Pradesh,Agra,2,Maharashtra,Mumbai
BLR,CCJ,4,Karnataka,Bengaluru Urban,87,Kerala,Kozhikode
CJB,CCJ,69,Tamil Nadu,Coimbatore,87,Kerala,Kozhikode
MAA,CCJ,10,Tamil Nadu,Chennai,87,Kerala,Kozhikode
COK,CCJ,87,Kerala,Kozhikode,87,Kerala,Kozhikode
BOM,CCJ,2,Maharashtra,Mumbai,87,Kerala,Kozhikode
BLR,CCU,4,Karnataka,Bengaluru Urban,33,West Bengal,Kolkata
AMD,CCU,8,Gujarat,Ahmedabad,33,West Bengal,Kolkata
DEL,CCU,1,Delhi,Delhi,33,West Bengal,Kolkata
BOM,CCU,2,Maharashtra,Mumbai,33,West Bengal,Kolkata
RPR,CCU,160,Chhattisgarh,Raipur,33,West Bengal,Kolkata
