Day,first,second
1,0,0
2,44,155
3,88,204
4,118,239
5,131,261
6,142,277
7,153,293
8,173,299
9,185,308
10,197,319
11,210,323
12,222,332
13,235,340
14,253,345
15,263,347
16,277,349
17,289,354
18,299,359
19,308,365
20,315,368
21,329,374
22,334,379
23,342,380
24,345,381
25,352,384
26,360,387
27,364,388
28,368,389
29,369,390
30,374,391
31,376,392
32,379,394
33,380,395
34,380,395
35,380,395
36,380,395
37,381,395
38,383,395
39,385,395
40,385,396
41,385,396
42,385,396
43,385,396
44,387,396
45,387,396
46,388,396
47,389,396
48,389,396
49,392,396
50,392,396
