Day,first,second
1,32.84888,26.07071
2,30.00089,24.97748
3,27.74955,23.80541
4,27.41594,23.76614
5,27.18631,23.45065
6,26.52865,23.04646
7,25.60916,23.08377
8,25.29688,23.00714
9,25.0644,22.95866
10,25.09017,23.00718
11,24.64303,22.8534
12,24.71742,22.66055
13,24.78305,22.8421
14,24.67157,22.82816
15,24.53065,22.62201
16,24.76453,22.64353
17,24.63249,22.59275
18,24.31129,22.56672
19,24.17215,22.64436
20,23.95715,22.5827
21,23.90631,22.4882
22,23.54293,22.48736
23,23.46828,22.47104
24,23.30149,22.38427
25,23.03819,22.33369
26,22.92695,22.31319
27,22.81435,22.2623
28,22.76823,22.21113
29,22.69884,22.18815
30,22.61633,22.18094
31,22.60348,22.12499
32,22.55463,22.10862
33,22.55463,22.10862
34,22.54924,22.10862
35,22.54924,22.10862
36,22.52975,22.10862
37,22.43931,22.10862
38,22.38198,22.10862
39,22.38198,22.06329
40,22.38198,22.06329
41,22.38198,22.06329
42,22.38198,22.06329
43,22.30189,22.01872
44,22.30189,22.01872
45,22.26336,22.01872
46,22.23081,22.01872
47,22.23081,22.01872
48,22.21302,22.01872
49,22.21302,22.01872
50,22.21302,22.01872
